country,year,month,year_month,avg_temp,max_temp,total_precip,avg_humidity,obs_count
Afghanistan,2024,5,2024-05,20.05625,24.3,1.835,38.40625,16
Afghanistan,2024,6,2024-06,25.59,32.9,2.18,24.833333333333332,30
Afghanistan,2024,7,2024-07,31.303448275862067,36.1,0.01,17.93103448275862,29
Afghanistan,2024,8,2024-08,30.848387096774193,34.7,1.15,20.548387096774192,31
Afghanistan,2024,9,2024-09,28.216666666666665,32.3,0.43000000000000005,13.733333333333333,30
Afghanistan,2024,10,2024-10,21.98709677419355,26.8,3.15,21.70967741935484,31
Afghanistan,2024,11,2024-11,15.67,23.7,0.06,27.466666666666665,30
Afghanistan,2024,12,2024-12,7.174193548387097,10.3,0.01,22.387096774193548,31
Afghanistan,2025,1,2025-01,1.3129032258064517,5.6,2.31,58.87096774193548,31
Afghanistan,2025,2,2025-02,4.789285714285714,8.2,1.42,47.857142857142854,28
Afghanistan,2025,3,2025-03,11.993548387096775,21.0,1.98,33.03225806451613,31
Afghanistan,2025,4,2025-04,22.986666666666668,29.0,0.04,18.4,30
Afghanistan,2025,5,2025-05,27.26774193548387,31.4,4.3500000000000005,17.483870967741936,31
Afghanistan,2025,6,2025-06,31.013333333333332,34.6,0.06999999999999999,13.0,30
Afghanistan,2025,7,2025-07,32.880645161290325,36.3,0.02,11.741935483870968,31
Afghanistan,2025,8,2025-08,30.480645161290322,32.5,0.0,15.35483870967742,31
Afghanistan,2025,9,2025-09,26.97142857142857,28.9,0.0,17.821428571428573,28
Albania,2024,5,2024-05,25.75,29.0,4.97,56.78125,16
Albania,2024,6,2024-06,30.84333333333333,38.2,1.6,45.766666666666666,30
Albania,2024,7,2024-07,34.63793103448276,39.2,3.17,37.0,29
Albania,2024,8,2024-08,34.980645161290326,38.1,0.69,32.12903225806452,31
Albania,2024,9,2024-09,27.516666666666666,36.2,11.68,48.266666666666666,30
Albania,2024,10,2024-10,21.835483870967742,26.3,4.39,56.806451612903224,31
Albania,2024,11,2024-11,13.783333333333333,20.0,2.59,59.13333333333333,30
Albania,2024,12,2024-12,11.741935483870968,15.2,9.71,62.58064516129032,31
Albania,2025,1,2025-01,13.425806451612903,18.3,3.2799999999999994,58.96774193548387,31
Albania,2025,2,2025-02,12.428571428571429,15.2,0.5700000000000001,52.42857142857143,28
Albania,2025,3,2025-03,16.067741935483873,25.4,7.45,51.61290322580645,31
Albania,2025,4,2025-04,18.403333333333332,25.2,4.32,49.833333333333336,30
Albania,2025,5,2025-05,21.664516129032258,25.3,6.58,50.96774193548387,31
Albania,2025,6,2025-06,29.323333333333334,34.2,0.0,38.36666666666667,30
Albania,2025,7,2025-07,30.361290322580647,35.3,0.45999999999999996,36.58064516129032,31
Albania,2025,8,2025-08,28.22258064516129,34.0,0.27,44.32258064516129,31
Albania,2025,9,2025-09,23.775000000000002,27.3,0.82,59.392857142857146,28
Algeria,2024,5,2024-05,26.25,34.0,0.01,46.4375,16
Algeria,2024,6,2024-06,27.89,35.0,0.0,46.733333333333334,30
Algeria,2024,7,2024-07,30.29642857142857,37.3,0.0,53.82142857142857,28
Algeria,2024,8,2024-08,31.483870967741936,37.0,0.0,51.74193548387097,31
Algeria,2024,9,2024-09,28.43,38.2,0.55,50.63333333333333,30
Algeria,2024,10,2024-10,23.76774193548387,29.4,0.78,62.12903225806452,31
Algeria,2024,11,2024-11,19.44333333333333,25.3,2.57,66.3,30
Algeria,2024,12,2024-12,14.748387096774193,19.0,1.87,61.58064516129032,31
Algeria,2025,1,2025-01,15.019354838709678,21.2,3.11,63.03225806451613,31
Algeria,2025,2,2025-02,15.424999999999999,22.2,1.4200000000000002,65.78571428571429,28
Algeria,2025,3,2025-03,17.616129032258065,23.1,1.2999999999999998,60.96774193548387,31
Algeria,2025,4,2025-04,19.7,25.1,2.0,59.13333333333333,30
Algeria,2025,5,2025-05,22.274193548387096,28.4,2.87,60.29032258064516,31
Algeria,2025,6,2025-06,28.503333333333334,33.3,0.0,55.1,30
Algeria,2025,7,2025-07,29.34193548387097,35.4,0.13,55.806451612903224,31
Algeria,2025,8,2025-08,27.712903225806453,31.3,0.0,55.225806451612904,31
Algeria,2025,9,2025-09,24.353571428571428,32.3,0.18,69.25,28
Andorra,2024,5,2024-05,12.80625,19.4,5.72,60.40625,16
Andorra,2024,6,2024-06,17.459999999999997,24.8,5.41,53.2,30
Andorra,2024,7,2024-07,24.010344827586206,28.9,3.19,37.44827586206897,29
Andorra,2024,8,2024-08,23.416129032258063,28.3,4.03,42.16129032258065,31
Andorra,2024,9,2024-09,14.58,20.6,9.33,55.03333333333333,30
Andorra,2024,10,2024-10,11.593548387096773,18.7,1.1400000000000001,67.0,31
Andorra,2024,11,2024-11,6.1433333333333335,12.6,2.6100000000000003,74.63333333333334,30
Andorra,2024,12,2024-12,2.9645161290322584,11.2,2.17,69.38709677419355,31
Andorra,2025,1,2025-01,2.035483870967742,8.6,3.73,66.48387096774194,31
Andorra,2025,2,2025-02,4.128571428571428,8.9,1.4,67.60714285714286,28
Andorra,2025,3,2025-03,1.1806451612903226,14.1,6.43,82.51612903225806,31
Andorra,2025,4,2025-04,7.21,14.1,5.97,63.7,30
Andorra,2025,5,2025-05,11.038709677419355,24.0,4.07,54.87096774193548,31
Andorra,2025,6,2025-06,21.09333333333333,26.3,1.3800000000000001,43.03333333333333,30
Andorra,2025,7,2025-07,19.07741935483871,24.8,2.67,50.41935483870968,31
Andorra,2025,8,2025-08,20.793548387096774,27.0,2.02,44.96774193548387,31
Andorra,2025,9,2025-09,14.049999999999999,22.1,1.09,62.392857142857146,28
Angola,2024,5,2024-05,29.09375,32.0,0.0,69.375,16
Angola,2024,6,2024-06,26.55,29.3,0.0,68.33333333333333,30
Angola,2024,7,2024-07,24.475862068965515,26.3,0.0,67.0,29
Angola,2024,8,2024-08,24.458064516129035,29.1,0.0,67.83870967741936,31
Angola,2024,9,2024-09,25.956666666666667,29.4,0.02,68.03333333333333,30
Angola,2024,10,2024-10,26.251612903225805,28.2,0.27,73.58064516129032,31
Angola,2024,11,2024-11,27.296666666666667,30.4,0.8600000000000001,76.1,30
Angola,2024,12,2024-12,27.758064516129032,30.4,5.73,76.96774193548387,31
Angola,2025,1,2025-01,29.38064516129032,31.3,1.72,67.19354838709677,31
Angola,2025,2,2025-02,29.264285714285712,32.2,1.78,69.75,28
Angola,2025,3,2025-03,29.548387096774192,31.3,0.2,69.41935483870968,31
Angola,2025,4,2025-04,28.626666666666665,31.3,3.0900000000000003,73.93333333333334,30
Angola,2025,5,2025-05,27.861290322580647,31.2,1.29,76.7741935483871,31
Angola,2025,6,2025-06,25.203333333333333,27.3,0.01,75.26666666666667,30
Angola,2025,7,2025-07,22.293548387096774,25.0,0.0,74.80645161290323,31
Angola,2025,8,2025-08,21.019354838709678,24.3,0.030000000000000002,79.38709677419355,31
Angola,2025,9,2025-09,22.707142857142856,24.4,0.08,79.82142857142857,28
Antigua And Barbuda,2024,5,2024-05,29.53125,31.0,1.6400000000000001,72.40625,16
Antigua And Barbuda,2024,6,2024-06,29.92758620689655,31.4,1.22,72.34482758620689,29
Antigua And Barbuda,2024,7,2024-07,28.675,30.4,3.0,76.85714285714286,28
Antigua And Barbuda,2024,8,2024-08,28.774193548387096,30.4,3.6100000000000003,76.41935483870968,31
Antigua And Barbuda,2024,9,2024-09,27.709999999999997,30.4,3.69,81.46666666666667,30
Antigua And Barbuda,2024,10,2024-10,27.72258064516129,29.0,2.66,77.0,31
Antigua And Barbuda,2024,11,2024-11,26.389655172413793,28.6,4.36,83.82758620689656,29
Antigua And Barbuda,2024,12,2024-12,25.606451612903225,27.3,5.29,76.7741935483871,31
Antigua And Barbuda,2025,1,2025-01,24.436666666666667,26.4,2.08,80.8,30
Antigua And Barbuda,2025,2,2025-02,24.67142857142857,25.4,6.09,75.85714285714286,28
Antigua And Barbuda,2025,3,2025-03,24.506451612903227,26.7,1.8499999999999999,78.74193548387096,31
Antigua And Barbuda,2025,4,2025-04,24.946666666666665,26.5,1.46,79.46666666666667,30
Antigua And Barbuda,2025,5,2025-05,26.129032258064516,27.4,1.18,82.19354838709677,31
Antigua And Barbuda,2025,6,2025-06,26.8,27.4,1.43,76.76666666666667,30
Antigua And Barbuda,2025,7,2025-07,26.81935483870968,28.1,5.5,79.48387096774194,31
Antigua And Barbuda,2025,8,2025-08,27.62258064516129,28.4,2.4699999999999998,79.29032258064517,31
Antigua And Barbuda,2025,9,2025-09,26.97142857142857,28.3,5.32,81.89285714285714,28
Argentina,2024,5,2024-05,11.34375,16.0,0.02,75.09375,16
Argentina,2024,6,2024-06,13.55,24.2,1.35,79.43333333333334,30
Argentina,2024,7,2024-07,6.796428571428572,15.9,0.0,78.32142857142857,28
Argentina,2024,8,2024-08,9.764516129032257,23.4,6.359999999999999,84.83870967741936,31
Argentina,2024,9,2024-09,12.383333333333333,19.4,0.44,82.06666666666666,30
Argentina,2024,10,2024-10,14.780645161290321,21.2,0.78,84.38709677419355,31
