country,year,month,avg_temperature_celsius,max_temperature_celsius,total_precip_mm,avg_humidity,avg_wind_kph,observation_count,year_month
Afghanistan,2024,5,20.305882352941175,26.6,1.85,38.05882352941177,11.51764705882353,17,2024-05-01
Afghanistan,2024,6,25.59,32.9,2.18,24.833333333333332,17.11,30,2024-06-01
Afghanistan,2024,7,31.303448275862067,36.1,0.01,17.93103448275862,20.731034482758623,29,2024-07-01
Afghanistan,2024,8,30.848387096774193,34.7,1.15,20.548387096774192,20.19677419354839,31,2024-08-01
Afghanistan,2024,9,28.216666666666665,32.3,0.43000000000000005,13.733333333333333,12.223333333333333,30,2024-09-01
Afghanistan,2024,10,21.98709677419355,26.8,3.15,21.70967741935484,6.461290322580646,31,2024-10-01
Afghanistan,2024,11,15.67,23.7,0.06,27.466666666666665,4.6466666666666665,30,2024-11-01
Afghanistan,2024,12,7.174193548387097,10.3,0.01,22.387096774193548,4.235483870967743,31,2024-12-01
Afghanistan,2025,1,1.3129032258064517,5.6,2.31,58.87096774193548,6.961290322580646,31,2025-01-01
Afghanistan,2025,2,4.789285714285714,8.2,1.42,47.857142857142854,7.139285714285714,28,2025-02-01
Afghanistan,2025,3,11.993548387096775,21.0,1.98,33.03225806451613,6.32258064516129,31,2025-03-01
Afghanistan,2025,4,22.986666666666668,29.0,0.04,18.4,6.613333333333333,30,2025-04-01
Afghanistan,2025,5,27.26774193548387,31.4,4.3500000000000005,17.483870967741936,10.783870967741937,31,2025-05-01
Afghanistan,2025,6,31.013333333333332,34.6,0.06999999999999999,13.0,12.126666666666667,30,2025-06-01
Afghanistan,2025,7,32.880645161290325,36.3,0.02,11.741935483870968,9.67741935483871,31,2025-07-01
Afghanistan,2025,8,30.480645161290322,32.5,0.0,15.35483870967742,6.870967741935484,31,2025-08-01
Afghanistan,2025,9,26.97142857142857,28.9,0.0,17.821428571428573,5.589285714285714,28,2025-09-01
Albania,2024,5,25.647058823529413,29.0,5.02,57.529411764705884,13.076470588235294,17,2024-05-01
Albania,2024,6,30.84333333333333,38.2,1.6,45.766666666666666,14.346666666666666,30,2024-06-01
Albania,2024,7,34.63793103448276,39.2,3.17,37.0,18.78965517241379,29,2024-07-01
Albania,2024,8,34.980645161290326,38.1,0.69,32.12903225806452,18.125806451612902,31,2024-08-01
Albania,2024,9,27.516666666666666,36.2,11.68,48.266666666666666,9.120000000000001,30,2024-09-01
Albania,2024,10,21.835483870967742,26.3,4.39,56.806451612903224,6.135483870967741,31,2024-10-01
Albania,2024,11,13.783333333333333,20.0,2.59,59.13333333333333,6.133333333333334,30,2024-11-01
Albania,2024,12,11.741935483870968,15.2,9.71,62.58064516129032,6.77741935483871,31,2024-12-01
Albania,2025,1,13.425806451612903,18.3,3.2799999999999994,58.96774193548387,6.280645161290322,31,2025-01-01
Albania,2025,2,12.428571428571429,15.2,0.5700000000000001,52.42857142857143,5.175,28,2025-02-01
Albania,2025,3,16.067741935483873,25.4,7.45,51.61290322580645,7.719354838709678,31,2025-03-01
Albania,2025,4,18.403333333333332,25.2,4.32,49.833333333333336,8.13,30,2025-04-01
Albania,2025,5,21.664516129032258,25.3,6.58,50.96774193548387,8.22258064516129,31,2025-05-01
Albania,2025,6,29.323333333333334,34.2,0.0,38.36666666666667,7.836666666666667,30,2025-06-01
Albania,2025,7,30.361290322580647,35.3,0.45999999999999996,36.58064516129032,12.077419354838709,31,2025-07-01
Albania,2025,8,28.22258064516129,34.0,0.27,44.32258064516129,8.916129032258064,31,2025-08-01
Albania,2025,9,23.775000000000002,27.3,0.82,59.392857142857146,6.410714285714286,28,2025-09-01
Algeria,2024,5,26.11764705882353,34.0,0.01,45.705882352941174,22.61764705882353,17,2024-05-01
Algeria,2024,6,27.89,35.0,0.0,46.733333333333334,23.71333333333333,30,2024-06-01
Algeria,2024,7,30.29642857142857,37.3,0.0,53.82142857142857,16.84642857142857,28,2024-07-01
Algeria,2024,8,31.483870967741936,37.0,0.0,51.74193548387097,17.580645161290324,31,2024-08-01
Algeria,2024,9,28.43,38.2,0.55,50.63333333333333,15.01,30,2024-09-01
Algeria,2024,10,23.76774193548387,29.4,0.78,62.12903225806452,10.425806451612903,31,2024-10-01
Algeria,2024,11,19.44333333333333,25.3,2.57,66.3,9.496666666666666,30,2024-11-01
Algeria,2024,12,14.748387096774193,19.0,1.87,61.58064516129032,10.332258064516129,31,2024-12-01
Algeria,2025,1,15.019354838709678,21.2,3.11,63.03225806451613,13.22258064516129,31,2025-01-01
Algeria,2025,2,15.424999999999999,22.2,1.4200000000000002,65.78571428571429,7.921428571428572,28,2025-02-01
Algeria,2025,3,17.616129032258065,23.1,1.2999999999999998,60.96774193548387,15.070967741935483,31,2025-03-01
Algeria,2025,4,19.7,25.1,2.0,59.13333333333333,11.743333333333334,30,2025-04-01
Algeria,2025,5,22.274193548387096,28.4,2.87,60.29032258064516,11.958064516129031,31,2025-05-01
Algeria,2025,6,28.503333333333334,33.3,0.0,55.1,10.463333333333333,30,2025-06-01
Algeria,2025,7,29.34193548387097,35.4,0.13,55.806451612903224,12.261290322580644,31,2025-07-01
Algeria,2025,8,27.712903225806453,31.3,0.0,55.225806451612904,9.725806451612904,31,2025-08-01
Algeria,2025,9,24.353571428571428,32.3,0.18,69.25,9.185714285714285,28,2025-09-01
Andorra,2024,5,12.423529411764704,19.4,5.9799999999999995,60.88235294117647,9.876470588235295,17,2024-05-01
Andorra,2024,6,17.459999999999997,24.8,5.41,53.2,10.673333333333334,30,2024-06-01
Andorra,2024,7,24.010344827586206,28.9,3.19,37.44827586206897,13.072413793103449,29,2024-07-01
Andorra,2024,8,23.416129032258063,28.3,4.03,42.16129032258065,9.180645161290323,31,2024-08-01
Andorra,2024,9,14.58,20.6,9.33,55.03333333333333,9.94,30,2024-09-01
Andorra,2024,10,11.593548387096773,18.7,1.1400000000000001,67.0,8.580645161290322,31,2024-10-01
Andorra,2024,11,6.1433333333333335,12.6,2.6100000000000003,74.63333333333334,6.846666666666667,30,2024-11-01
Andorra,2024,12,2.9645161290322584,11.2,2.17,69.38709677419355,8.319354838709677,31,2024-12-01
Andorra,2025,1,2.035483870967742,8.6,3.73,66.48387096774194,8.025806451612903,31,2025-01-01
Andorra,2025,2,4.128571428571428,8.9,1.4,67.60714285714286,6.710714285714286,28,2025-02-01
Andorra,2025,3,1.1806451612903226,14.1,6.43,82.51612903225806,9.516129032258064,31,2025-03-01
Andorra,2025,4,7.21,14.1,5.97,63.7,8.566666666666666,30,2025-04-01
Andorra,2025,5,11.038709677419355,24.0,4.07,54.87096774193548,7.558064516129032,31,2025-05-01
Andorra,2025,6,21.09333333333333,26.3,1.3800000000000001,43.03333333333333,8.026666666666667,30,2025-06-01
Andorra,2025,7,19.07741935483871,24.8,2.67,50.41935483870968,7.658064516129032,31,2025-07-01
Andorra,2025,8,20.793548387096774,27.0,2.02,44.96774193548387,6.296774193548386,31,2025-08-01
Andorra,2025,9,14.049999999999999,22.1,1.09,62.392857142857146,7.303571428571429,28,2025-09-01
Angola,2024,5,29.08823529411765,32.0,0.0,69.76470588235294,19.594117647058823,17,2024-05-01
Angola,2024,6,26.55,29.3,0.0,68.33333333333333,19.243333333333332,30,2024-06-01
Angola,2024,7,24.475862068965515,26.3,0.0,67.0,15.827586206896552,29,2024-07-01
Angola,2024,8,24.458064516129035,29.1,0.0,67.83870967741936,14.687096774193549,31,2024-08-01
Angola,2024,9,25.956666666666667,29.4,0.02,68.03333333333333,12.473333333333333,30,2024-09-01
Angola,2024,10,26.251612903225805,28.2,0.27,73.58064516129032,9.348387096774195,31,2024-10-01
Angola,2024,11,27.296666666666667,30.4,0.8600000000000001,76.1,7.6033333333333335,30,2024-11-01
Angola,2024,12,27.758064516129032,30.4,5.73,76.96774193548387,9.529032258064515,31,2024-12-01
Angola,2025,1,29.38064516129032,31.3,1.72,67.19354838709677,8.135483870967741,31,2025-01-01
Angola,2025,2,29.264285714285712,32.2,1.78,69.75,8.407142857142857,28,2025-02-01
Angola,2025,3,29.548387096774192,31.3,0.2,69.41935483870968,6.077419354838709,31,2025-03-01
Angola,2025,4,28.626666666666665,31.3,3.0900000000000003,73.93333333333334,7.923333333333333,30,2025-04-01
Angola,2025,5,27.861290322580647,31.2,1.29,76.7741935483871,7.583870967741936,31,2025-05-01
Angola,2025,6,25.203333333333333,27.3,0.01,75.26666666666667,6.116666666666666,30,2025-06-01
Angola,2025,7,22.293548387096774,25.0,0.0,74.80645161290323,6.880645161290323,31,2025-07-01
Angola,2025,8,21.019354838709678,24.3,0.030000000000000002,79.38709677419355,6.038709677419354,31,2025-08-01
Angola,2025,9,22.707142857142856,24.4,0.08,79.82142857142857,4.964285714285714,28,2025-09-01
Antigua And Barbuda,2024,5,29.41176470588235,31.0,1.6600000000000001,72.82352941176471,16.241176470588233,17,2024-05-01
Antigua And Barbuda,2024,6,29.92758620689655,31.4,1.22,72.34482758620689,16.368965517241378,29,2024-06-01
Antigua And Barbuda,2024,7,28.675,30.4,3.0,76.85714285714286,21.657142857142855,28,2024-07-01
Antigua And Barbuda,2024,8,28.774193548387096,30.4,3.6100000000000003,76.41935483870968,20.03548387096774,31,2024-08-01
Antigua And Barbuda,2024,9,27.709999999999997,30.4,3.69,81.46666666666667,15.706666666666667,30,2024-09-01
Antigua And Barbuda,2024,10,27.72258064516129,29.0,2.66,77.0,19.73548387096774,31,2024-10-01
Antigua And Barbuda,2024,11,26.389655172413793,28.6,4.36,83.82758620689656,19.282758620689656,29,2024-11-01
Antigua And Barbuda,2024,12,25.606451612903225,27.3,5.29,76.7741935483871,26.02258064516129,31,2024-12-01
Antigua And Barbuda,2025,1,24.436666666666667,26.4,2.08,80.8,27.83,30,2025-01-01
Antigua And Barbuda,2025,2,24.67142857142857,25.4,6.09,75.85714285714286,33.371428571428574,28,2025-02-01
Antigua And Barbuda,2025,3,24.506451612903227,26.7,1.8499999999999999,78.74193548387096,25.55483870967742,31,2025-03-01
Antigua And Barbuda,2025,4,24.946666666666665,26.5,1.46,79.46666666666667,28.60666666666667,30,2025-04-01
Antigua And Barbuda,2025,5,26.129032258064516,27.4,1.18,82.19354838709677,28.225806451612904,31,2025-05-01
Antigua And Barbuda,2025,6,26.8,27.4,1.43,76.76666666666667,31.376666666666665,30,2025-06-01
Antigua And Barbuda,2025,7,26.81935483870968,28.1,5.5,79.48387096774194,29.5258064516129,31,2025-07-01
